cluster_0_name	cluster_1_name	cluster_2_name	cluster_3_name	cluster_4_name	cluster_5_name	cluster_6_name	cluster_7_name
GENERAL PROVISIONS	CODE OF LAWS OF UNITED STATES AND SUPPLEMENTS; DISTRICT OF COLUMBIA CODE AND SUPPLEMENTS	Appropriation for preparing and editing supplements					
GENERAL PROVISIONS	CODE OF LAWS OF UNITED STATES AND SUPPLEMENTS; DISTRICT OF COLUMBIA CODE AND SUPPLEMENTS	Additional distribution at each new Congress					
GENERAL PROVISIONS	CODE OF LAWS OF UNITED STATES AND SUPPLEMENTS; DISTRICT OF COLUMBIA CODE AND SUPPLEMENTS	Copies to Members of Congress					
GENERAL PROVISIONS	CODE OF LAWS OF UNITED STATES AND SUPPLEMENTS; DISTRICT OF COLUMBIA CODE AND SUPPLEMENTS	Distribution of Supplements to Code of Laws of United States and of District of Columbia Code and Supplements; slip and pamphlet copies					
GENERAL PROVISIONS	CODE OF LAWS OF UNITED STATES AND SUPPLEMENTS; DISTRICT OF COLUMBIA CODE AND SUPPLEMENTS	Copies of Supplements to Code of Laws of United States and of District of Columbia Code and Supplements; conclusive evidence of original					
GENERAL PROVISIONS	CODE OF LAWS OF UNITED STATES AND SUPPLEMENTS; DISTRICT OF COLUMBIA CODE AND SUPPLEMENTS	Delegation of function of Committee on the Judiciary to other agencies; printing, and so forth, under direction of Joint Committee on Printing					
GENERAL PROVISIONS	CODE OF LAWS OF UNITED STATES AND SUPPLEMENTS; DISTRICT OF COLUMBIA CODE AND SUPPLEMENTS	Copies of acts and resolutions in slip form; additional number printed for Committee on the Judiciary of House of Representatives					
GENERAL PROVISIONS	CODE OF LAWS OF UNITED STATES AND SUPPLEMENTS; DISTRICT OF COLUMBIA CODE AND SUPPLEMENTS	Bills and resolutions of Committee on the Judiciary of House of Representatives; form and style; ancillaries; curtailment of copies					
GENERAL PROVISIONS	CODE OF LAWS OF UNITED STATES AND SUPPLEMENTS; DISTRICT OF COLUMBIA CODE AND SUPPLEMENTS	Codes and Supplement; where printed; form and style; ancillaries					
GENERAL PROVISIONS	CODE OF LAWS OF UNITED STATES AND SUPPLEMENTS; DISTRICT OF COLUMBIA CODE AND SUPPLEMENTS	Codes and Supplements as evidence of the laws of United States and District of Columbia; citation of Codes and Supplements					
GENERAL PROVISIONS	CODE OF LAWS OF UNITED STATES AND SUPPLEMENTS; DISTRICT OF COLUMBIA CODE AND SUPPLEMENTS	District of Columbia Code; preparation and publication; cumulative supplements					
GENERAL PROVISIONS	CODE OF LAWS OF UNITED STATES AND SUPPLEMENTS; DISTRICT OF COLUMBIA CODE AND SUPPLEMENTS	Preparation and publication of Codes and Supplements					
GENERAL PROVISIONS	CODE OF LAWS OF UNITED STATES AND SUPPLEMENTS; DISTRICT OF COLUMBIA CODE AND SUPPLEMENTS	Publication and distribution of Code of Laws of United States and Supplements and District of Columbia Code and Supplements					
